"characterCount","wordCount","syllableCount","sentenceCount","sectionCount","subsectionCount","paragraphCount","meanSectionSize","meanParagraphSize","largestSectionSize","shortestSectionSize","largestShortestSectionRatio","sectionSizeStandardDeviation","meanOfSubsectionsPerSection","abstractSize","abstractSizeArtcileLengthRatio","citationCount","citationCountPerSentence","citationCountPerSection","externalLinksCount","externalLinksPerSentence","externalLinksPerSection","imageCount","imagePerSentence","imagePerSection","meanSentenceSize","largestSentenceSize","shortestSentenceSize","largeSentenceRate","shortSentenceRate","questionCount","questionRatio","exclamationCount","exclamationRatio","toBeVerbCount","toBeVerbRatio","toBeVerbPerSentence","toBeVerbRate","automatedReadabilityIndex","colemanLiauIndex","fleshReadingEase","fleschKincaidGradeLevel","gunningFogIndex","lasbarhetsIndex","smogGrading","linsearWriteFormula","daleChallReadabilityFormula","differentWordCount","differentWordsPerSentence","differentWordsRate","nounCount","nounsPerSentence","nounsRate","differentNounCount","differentNounsPerSentence","differentNounsRate","verbCountentence","verbsRate","differentVerbCount","differentVerbsPerSentence","differentVerbsRate","pronounCount","pronounsPerSentence","pronounsRate","differentPronounCount","differentPronounsPerSentence","differentPronounsRate","adjectiveCount","adjectivesPerSentence","differentAdjectiveCount","differentAdjectivesPerSentence","differentAdjectivesRate","adverbCount","adverbsPerSentence","adverbsRate","differentAdverbCount","differentAdverbsPerSentence","differentAdverbsRate","coordinatingConjunctionCount","coordinatingConjunctionsPerSentence","coordinatingConjunctionsRate","differentCoordinatingConjunctionCount","differentCoordinatingConjunctionsPerSentence","differentCoordinatingConjunctionsRate","subordinatingPrepositionAndConjunctionCount","subordinatingPrepositionsAndConjunctionsPerSentence","subordinatingPrepositionsAndConjunctionsRate","differentSubordinatingPrepositionAndConjunctionCount","differentSubordinatingPrepositionsAndConjunctionsPerSentence","differentSubordinatingPrepositionsAndConjunctionsRate","syllablesPerWord","charactersPerWord","qualityClass"
7222,1370,2464,72,7,0,15,1031.714286,91.333333,1886,487,3.87269,492.282343,0,1095,0.15162,44,0.611111,6.285714,17,0.236111,2.428571,3,0,0.428571,19.027778,46,6,0.111111,0.305556,0,0,0,0,42,0.368421,0.583333,0.030657,12.912809,13.640993,35.365309,13.053607,16.954177,49.507543,15.172627,0.076389,11.599336,598,8.305556,0.436496,447,6.208333,0.326277,241,3.347222,0.175912,,0.083212,102,1.416667,0.074453,15,0.208333,0.010949,4,0.055556,0.00292,111,1.541667,80,1.111111,0.058394,41,0.569444,0.029927,31,0.430556,0.022628,57,0.791667,0.791667,4,0.055556,0.00292,186,2.583333,0.135766,28,0.388889,0.020438,1.79854,5.271533,7
15290,3043,5048,116,7,3,19,2184.285714,160.157895,6602,487,13.556468,1563.288126,0.428571,1095,0.071615,89,0.767241,12.714286,32,0.275862,4.571429,6,0,0.857143,26.232759,71,3,0.172414,0.258621,0,0,0,0,64,0.278261,0.551724,0.021032,15.352465,12.616563,39.866719,14.215669,20.890737,66.994876,18.046879,-0.426724,14.62543,1010,8.706897,0.331909,1137,9.801724,0.373644,490,4.224138,0.161025,,0.075583,155,1.336207,0.050937,75,0.646552,0.024647,14,0.12069,0.004601,177,1.525862,97,0.836207,0.031876,67,0.577586,0.022018,36,0.310345,0.01183,102,0.87931,0.87931,4,0.034483,0.001314,394,3.396552,0.129477,43,0.37069,0.014131,1.658889,5.024647,7
7992,1546,2721,83,3,0,20,2664,77.3,6602,487,13.556468,1807.06301,0,1095,0.137012,79,0.951807,26.333333,71,0.855422,23.666667,2,0,0.666667,18.626506,40,2,0.096386,0.204819,0,0,0,0,40,0.275862,0.481928,0.025873,12.231455,13.007348,39.030908,12.442643,37.463539,132.635034,24.485836,-0.066265,30.35956,660,7.951807,0.426908,532,6.409639,0.344114,312,3.759036,0.201811,,0.09379,124,1.493976,0.080207,28,0.337349,0.018111,7,0.084337,0.004528,90,1.084337,63,0.759036,0.04075,40,0.481928,0.025873,26,0.313253,0.016818,47,0.566265,0.566265,2,0.024096,0.001294,194,2.337349,0.125485,27,0.325301,0.017464,1.760026,5.16947,7
28319,5768,9523,239,9,18,68,3146.555556,84.823529,10588,487,21.741273,2490.994389,2,1095,0.038667,239,1,26.555556,198,0.828452,22,4,0,0.444444,24.133891,71,2,0.188285,0.32636,0,0,1,0.004184,188,0.393305,0.786611,0.032594,13.76151,11.842393,42.664031,13.304083,24.542599,80.071518,20.251396,-0.705021,18.586828,1863,7.794979,0.322989,1933,8.087866,0.335125,893,3.736402,0.15482,,0.082871,291,1.217573,0.050451,171,0.715481,0.029646,17,0.07113,0.002947,498,2.083682,245,1.025105,0.042476,197,0.824268,0.034154,92,0.384937,0.01595,153,0.640167,0.640167,5,0.020921,0.000867,689,2.882845,0.119452,47,0.196653,0.008148,1.651006,4.909674,7
9792,1896,3348,63,4,2,18,2448,105.333333,10588,342,30.959064,2574.230126,0.5,1095,0.111826,37,0.587302,9.25,2,0.031746,0.5,1,0,0.25,30.095238,100,2,0.174603,0.428571,1,0.015873,0,0,41,0.29078,0.650794,0.021624,17.942682,13.584051,26.899726,16.983852,66.531766,231.943534,39.708524,0.071429,53.615184,766,12.15873,0.404008,666,10.571429,0.351266,346,5.492063,0.182489,,0.074367,127,2.015873,0.066983,59,0.936508,0.031118,8,0.126984,0.004219,134,2.126984,104,1.650794,0.054852,69,1.095238,0.036392,52,0.825397,0.027426,55,0.873016,0.873016,3,0.047619,0.001582,232,3.68254,0.122363,28,0.444444,0.014768,1.765823,5.164557,7
9054,1899,2983,79,5,0,17,1810.8,111.705882,10588,342,30.959064,2432.666709,0,1095,0.120941,55,0.696203,11,7,0.088608,1.4,7,0,1.4,24.037975,70,4,0.151899,0.367089,0,0,0,0,51,0.293103,0.64557,0.026856,13.045196,11.003117,49.544513,12.320566,69.709977,250.646688,37.45977,-0.196203,58.809131,703,8.898734,0.370195,603,7.632911,0.317536,301,3.810127,0.158504,,0.091627,114,1.443038,0.060032,99,1.253165,0.052133,9,0.113924,0.004739,125,1.582278,81,1.025316,0.042654,57,0.721519,0.030016,41,0.518987,0.02159,52,0.658228,0.658228,4,0.050633,0.002106,260,3.291139,0.136914,29,0.367089,0.015271,1.570827,4.767773,7
9879,1940,3220,61,3,1,13,3293,149.230769,10588,342,30.959064,2391.092153,0.333333,1095,0.110841,71,1.163934,23.666667,4,0.065574,1.333333,1,0,0.333333,31.803279,143,4,0.213115,0.491803,1,0.016393,0,0,64,0.392638,1.04918,0.03299,18.456222,13.211814,34.136115,16.398846,78.123373,281.959556,44.324299,0.172131,64.572948,769,12.606557,0.396392,643,10.540984,0.331443,351,5.754098,0.180928,,0.084021,120,1.967213,0.061856,69,1.131148,0.035567,8,0.131148,0.004124,146,2.393443,99,1.622951,0.051031,87,1.42623,0.044845,52,0.852459,0.026804,75,1.229508,1.229508,3,0.04918,0.001546,265,4.344262,0.136598,31,0.508197,0.015979,1.659794,5.092268,7
12255,2324,4256,98,5,0,22,2451,105.636364,10588,109,97.137615,2498.963142,0,1095,0.089351,43,0.438776,8.6,16,0.163265,3.2,7,0,1.4,23.714286,69,2,0.214286,0.346939,0,0,0,0,62,0.362573,0.632653,0.026678,15.264083,13.958434,27.83488,15.26821,74.614802,267.104451,38.627392,-0.25,61.348266,872,8.897959,0.375215,750,7.653061,0.322719,393,4.010204,0.169105,,0.07358,138,1.408163,0.05938,91,0.928571,0.039157,10,0.102041,0.004303,224,2.285714,118,1.204082,0.050775,92,0.938776,0.039587,53,0.540816,0.022806,129,1.316327,1.316327,4,0.040816,0.001721,269,2.744898,0.115749,30,0.306122,0.012909,1.831325,5.273236,7
53200,10529,18106,388,7,16,79,7600,133.278481,18545,109,170.137615,3794.872456,2.285714,1095,0.020583,203,0.523196,29,100,0.257732,14.285714,13,0,1.857143,27.136598,118,2,0.216495,0.412371,2,0.005155,4,0.010309,307,0.338106,0.791237,0.029158,15.93657,12.819166,33.810529,15.284925,33.287919,109.562437,25.415454,-0.800258,23.68333,2628,6.773196,0.249596,3045,7.847938,0.289201,1210,3.118557,0.114921,,0.086238,386,0.994845,0.036661,570,1.469072,0.054136,21,0.054124,0.001994,902,2.324742,412,1.061856,0.03913,419,1.079897,0.039795,153,0.39433,0.014531,382,0.984536,0.984536,7,0.018041,0.000665,1492,3.845361,0.141704,52,0.134021,0.004939,1.719631,5.052712,7
14046,2700,4780,126,8,2,23,1755.75,117.391304,18545,109,170.137615,3580.637686,0.25,1095,0.077958,111,0.880952,13.875,18,0.142857,2.25,3,0,0.375,21.428571,54,7,0.166667,0.333333,0,0,0,0,106,0.519608,0.84127,0.039259,13.786752,13.407733,35.311667,13.657513,104.719577,380.206349,44.128926,-0.384921,84.544124,918,7.285714,0.34,912,7.238095,0.337778,440,3.492063,0.162963,,0.075556,136,1.079365,0.05037,48,0.380952,0.017778,9,0.071429,0.003333,254,2.015873,125,0.992063,0.046296,77,0.611111,0.028519,34,0.269841,0.012593,85,0.674603,0.674603,3,0.02381,0.001111,399,3.166667,0.147778,34,0.269841,0.012593,1.77037,5.202222,7
