"200","The","ame","nt ","ng ","s t","he ","e o","f t","men","t a","wit"," th","ge ","e i","ent","str","ion"," of","e b","din","enc","ed ","in "," an","d t","ber","s o","te ","the","mbe",". T","for","by ","en "," to","ce ","on "," 20","ric",", t"," ar","t w","des","ing"," be","ts ","com","tio","ati","r o","ere","d i","n t","era","all","ch ","of ","nd ","ate","d o","and","ist","rat","ive","t o"," pr","ded"," in","fro","y o","er ","se ","to ","one","par","an ","sta"," se","rom"," co","con","ver","es ",", a","e a","ll ","tic","d b","s, "," me","n i","e t","sti","al "," ma","her"," ha","e c","ons","cti"," fo"," wa","iti"," wh","rea","lis","t i","o t","ich"," de"," we","re ","s a","ic ","as ","ect"," Th","eve"," a ","e, ","e p"," wo","rou","inc","ith","out"," pa","ear","rit","tur","res"," is","ity","e s","ite","ly ","sed","rs ","le ","e w"," bo","y t"," st","ste","e. ","ter","ide","th ","or ","s. ","is ","s b","ry ","eat"," re","nce"," 19"," wi","clu","man","om ","was"," at","d a","ica","e f","r t"," di","ty ","ain","est","ove","ut ","art","int","n o","mer"," on","ill","s c","ers","tin","at ","tha","orm","his","ren","tor","t t"," by","nal","hat","s i","n a","der"," as","sin","me ","g t","st ","nti","ran","oun","ted","d s","pro","are","n, ","nte","s w","nat","y, ","ve "," Ma","ns "," al","tra","red","cal"," Co",".  ",". I","nde","e m","ine","ne ","d w"," In"," or","s f"," ba","per","ess","eri"," fr","ase"," hi","age","e e","lin","ial"," fi","has"," He","ali"," Ch","qualityClass"
0,8,1,6,30,7,63,8,13,4,4,3,46,2,9,14,10,28,26,2,6,3,32,32,26,10,5,7,3,59,2,6,8,2,4,16,6,20,0,3,4,8,3,2,28,8,9,4,19,13,4,12,7,11,1,19,8,29,23,2,4,18,12,4,3,7,6,1,37,3,8,32,5,16,4,2,15,5,1,6,10,5,6,20,5,9,4,4,4,12,1,2,5,5,17,3,16,2,3,5,7,3,11,15,8,1,2,1,2,2,4,3,8,15,5,15,5,6,2,14,5,0,13,5,4,3,2,14,7,6,5,6,3,3,6,3,11,0,4,4,8,2,5,3,2,0,7,1,9,6,7,5,1,20,1,15,7,17,7,6,3,4,16,5,10,1,7,5,3,4,5,4,2,0,12,12,8,2,10,6,2,7,8,17,9,2,5,3,16,8,8,9,7,7,6,1,7,1,1,2,13,12,2,2,9,4,6,1,4,8,2,0,1,5,0,2,4,17,4,3,5,1,6,0,3,3,7,1,1,0,2,0,4,6,2,3,0,1,0,3,0,0,2,2,9,10,1,7
5,27,33,34,101,30,279,32,57,51,24,18,262,7,22,68,20,50,111,42,61,6,102,53,90,61,25,31,23,235,25,45,23,24,33,56,17,55,10,7,20,26,10,21,105,34,29,28,45,48,11,32,22,38,7,31,24,115,104,41,14,69,13,8,15,26,32,7,82,19,12,39,19,54,17,19,15,19,17,23,70,34,14,36,12,27,13,19,19,23,11,6,30,15,34,17,20,20,31,21,10,23,27,7,23,15,8,14,23,14,36,17,44,38,12,50,36,22,17,42,20,21,9,16,11,20,15,22,9,10,26,23,15,14,24,18,21,10,20,20,18,6,14,25,15,10,29,15,28,31,17,21,7,18,16,34,15,8,34,7,11,11,20,5,26,4,20,13,9,8,13,13,19,12,8,9,17,3,18,2,10,10,20,28,25,8,6,3,6,16,12,14,19,16,23,11,11,10,7,17,22,11,4,9,34,11,25,13,7,11,13,6,3,15,4,10,9,9,4,6,4,2,9,9,11,4,10,8,9,10,8,2,4,8,8,12,11,8,6,8,9,9,6,7,1,1,0,7
15,25,9,23,62,20,169,17,31,17,10,8,165,30,17,68,6,74,104,12,16,13,95,76,95,29,13,29,17,152,7,31,33,9,18,36,13,58,25,12,18,19,1,16,74,16,39,17,57,32,19,11,21,36,14,21,11,77,101,41,16,76,10,15,24,16,29,9,82,9,13,62,9,45,5,9,24,11,19,9,47,16,37,53,41,19,27,11,14,37,9,12,26,14,59,13,17,22,23,10,12,31,20,18,19,10,2,8,13,12,18,13,19,42,12,42,9,30,10,41,9,10,5,6,14,12,55,6,13,4,8,14,24,21,27,11,20,7,6,11,12,2,9,29,19,11,46,12,52,32,39,30,5,14,9,31,15,17,14,15,11,12,14,17,16,13,17,15,6,18,7,17,18,7,77,9,18,14,15,9,14,28,10,24,5,6,14,10,12,14,22,16,8,30,19,13,24,6,11,16,28,7,18,9,31,7,17,8,11,18,4,6,8,16,5,20,23,15,5,10,27,5,15,20,3,14,12,8,14,10,10,6,14,18,15,19,9,8,6,7,4,21,11,10,0,6,14,7
1,11,5,14,36,7,83,9,13,17,7,8,70,4,5,18,24,27,42,9,3,3,45,23,34,32,5,9,9,104,7,15,17,7,13,34,10,33,2,0,4,6,6,1,30,9,3,3,23,14,7,9,7,15,6,6,6,33,38,12,3,51,5,5,7,4,33,3,37,0,5,53,5,29,15,3,20,9,10,6,14,12,6,9,9,11,1,5,7,5,9,5,8,4,15,4,19,12,3,8,8,15,14,12,16,4,8,6,5,5,10,12,12,15,6,23,12,18,6,22,9,10,3,5,2,9,6,5,3,5,1,6,2,2,13,4,7,9,13,4,7,3,3,41,6,8,14,3,17,8,11,8,3,10,7,17,4,10,12,4,8,5,10,3,10,9,8,6,12,2,2,7,5,2,9,6,3,2,14,6,4,22,11,8,8,5,6,3,1,14,8,7,11,13,16,2,7,2,12,7,10,3,6,4,13,4,4,8,5,6,8,5,4,14,5,9,5,3,4,9,4,3,5,5,2,6,5,4,6,6,5,2,5,3,1,4,1,5,1,7,1,7,4,0,0,3,1,7
1,9,7,15,41,11,108,11,20,17,8,13,112,5,10,42,5,40,57,7,12,6,72,58,61,27,17,15,17,117,2,12,18,13,22,58,29,41,3,3,10,6,5,3,39,28,13,8,44,22,4,18,11,22,5,9,12,47,56,16,12,63,5,5,12,9,18,13,47,6,11,37,16,46,3,6,10,12,14,8,29,9,10,18,28,15,8,5,11,13,8,7,23,6,38,10,15,12,13,14,18,32,36,24,19,5,4,7,6,8,6,7,24,19,18,23,10,18,5,31,10,17,14,3,9,12,9,4,16,3,12,13,6,8,20,7,14,0,4,11,15,6,11,5,8,6,18,6,24,21,6,42,6,8,5,37,20,15,14,3,6,13,29,9,25,13,11,13,11,11,12,9,5,10,7,11,12,2,23,9,6,14,9,9,13,2,43,4,10,17,7,6,10,5,16,5,14,3,14,7,12,21,6,9,19,11,11,7,20,8,10,5,6,12,6,7,6,3,9,13,6,3,8,11,7,10,6,6,4,6,10,2,10,7,5,13,3,32,11,10,4,8,6,2,7,8,2,7
0,23,16,35,105,51,219,35,37,25,17,23,241,9,33,70,15,107,147,28,19,14,172,125,138,74,11,43,21,197,8,7,42,23,42,74,15,108,2,5,15,13,17,17,109,50,36,16,93,59,8,25,24,56,13,19,33,147,118,35,21,128,37,11,33,23,35,20,109,19,20,51,24,72,10,14,33,19,38,14,53,24,25,52,45,31,19,16,27,47,15,10,39,20,62,32,29,27,18,31,34,36,38,19,32,19,26,17,17,11,23,17,38,57,16,78,37,19,13,57,30,15,22,10,19,41,14,16,22,20,37,36,11,9,32,5,30,27,10,34,17,19,21,27,13,13,32,31,30,23,29,88,21,30,16,49,37,5,37,7,38,15,44,18,34,39,22,16,21,17,17,15,13,20,9,22,37,9,56,7,16,17,28,47,42,9,80,11,16,35,21,12,43,21,47,7,41,12,29,18,37,19,14,21,45,24,23,7,27,21,21,33,19,14,8,22,16,16,12,16,2,2,13,16,12,17,15,14,13,17,19,10,16,15,16,23,3,58,18,20,11,12,18,7,25,16,10,7
3,13,3,2,35,18,96,13,15,1,3,7,110,2,12,11,0,14,30,12,4,1,39,14,42,15,1,10,8,92,1,11,19,11,19,24,6,28,8,5,4,3,11,6,35,21,5,7,12,7,1,7,5,19,3,9,4,27,41,9,6,39,3,3,7,6,5,3,16,4,2,29,1,25,6,2,14,9,17,1,9,7,10,16,8,8,2,1,4,9,3,3,18,2,9,4,6,6,6,6,5,3,17,4,12,2,1,5,6,2,7,4,10,11,6,20,6,12,12,22,5,8,2,6,1,13,8,2,8,7,7,7,10,3,18,6,11,2,19,8,13,2,6,8,1,5,14,5,15,14,5,16,2,9,10,14,3,0,14,0,1,2,14,3,7,7,12,7,8,1,3,7,2,4,5,3,3,2,16,4,6,11,6,18,15,1,8,2,1,11,11,3,14,7,12,2,7,1,1,4,21,3,3,2,9,11,4,2,4,6,6,5,1,10,4,5,4,2,5,2,0,2,9,4,2,1,2,3,3,2,3,2,0,3,4,3,3,8,3,10,6,1,4,1,0,1,8,7
0,9,6,4,43,15,115,17,18,4,7,9,111,3,16,23,7,22,63,15,6,10,58,43,34,27,2,13,11,102,2,9,36,16,21,33,12,20,1,0,12,6,7,5,44,15,13,8,14,4,5,21,22,16,3,7,16,57,54,9,7,48,6,5,14,14,6,3,65,5,6,38,9,38,7,5,17,7,19,7,26,10,6,23,29,17,7,8,4,9,5,3,11,8,16,22,29,26,12,6,8,24,28,10,13,6,4,10,5,3,11,9,19,10,2,40,4,9,12,46,18,12,4,6,1,6,6,9,13,10,11,6,5,2,33,3,21,2,7,22,23,2,8,5,5,8,21,5,12,33,6,23,7,10,3,26,10,5,41,0,10,9,24,11,15,4,7,12,9,3,8,10,3,12,1,5,10,2,13,6,7,14,7,30,16,1,25,2,5,15,10,3,15,10,31,7,14,2,9,10,10,5,1,7,18,2,8,3,6,7,15,1,8,8,7,3,8,7,7,5,3,2,11,4,8,5,8,11,2,5,5,3,7,3,1,10,9,15,9,8,17,3,3,7,1,3,1,7
13,33,13,35,87,34,251,35,26,24,20,27,296,9,32,63,13,77,94,13,7,16,165,86,89,76,15,31,22,257,5,32,36,18,32,106,33,54,14,8,18,7,27,9,129,44,35,20,62,25,6,38,14,37,24,24,24,93,103,45,10,83,29,10,41,23,34,16,85,21,5,89,27,101,19,9,19,13,33,19,51,25,27,68,20,35,11,13,21,26,11,21,51,21,54,38,32,30,45,16,16,57,46,15,24,23,4,15,26,14,24,23,50,48,13,74,32,33,22,50,19,31,18,14,11,32,23,10,25,18,12,22,12,15,65,24,28,15,20,22,33,14,8,36,19,17,54,14,33,46,37,50,8,22,17,54,30,17,30,6,5,18,49,21,30,24,52,23,25,16,13,22,12,21,21,26,13,15,41,17,19,28,33,65,35,5,22,12,29,44,24,13,40,27,23,15,25,8,16,16,31,11,11,17,52,23,15,13,7,21,17,7,9,17,8,22,14,27,16,15,20,6,12,11,18,29,22,12,9,7,21,9,18,17,15,16,19,30,18,14,49,6,43,0,14,10,13,7
2,16,12,22,66,40,166,29,32,21,15,18,176,9,17,56,11,69,119,13,14,19,139,66,110,36,12,34,22,188,3,12,36,21,29,77,10,129,1,7,10,13,13,7,93,36,29,12,61,53,8,34,15,45,12,17,35,117,113,36,16,104,21,12,25,14,25,7,74,12,14,62,22,64,15,10,17,10,25,18,39,20,20,27,35,32,6,34,6,49,8,12,28,12,63,23,39,14,13,26,15,38,31,29,29,17,54,8,8,14,21,21,40,52,4,71,12,20,17,33,20,27,33,8,8,34,13,20,19,26,14,21,11,7,15,22,43,9,24,17,30,23,11,14,9,16,48,11,30,31,32,71,17,23,9,53,13,2,30,5,12,10,37,22,33,59,19,13,16,6,26,32,12,24,22,27,24,6,33,9,10,39,19,40,22,5,56,13,9,19,15,18,31,15,34,11,36,12,26,19,39,18,10,10,31,10,16,9,14,24,29,0,14,15,12,11,20,13,10,40,9,6,15,16,8,37,17,16,10,5,17,5,15,19,20,24,2,69,6,14,12,14,13,3,9,7,7,7
2,7,6,26,56,21,69,16,22,21,11,19,100,0,17,49,2,59,60,12,5,15,51,33,67,26,2,27,12,87,1,19,19,9,20,31,14,61,7,2,12,13,3,2,53,30,25,11,39,51,1,14,7,18,30,17,18,63,51,25,6,43,13,14,36,6,28,3,80,7,10,34,20,34,6,4,15,1,13,1,25,15,23,35,18,28,13,11,13,24,5,3,36,8,28,14,47,19,16,19,25,17,8,8,17,36,1,12,10,5,17,3,37,28,9,29,30,8,21,30,14,19,0,3,9,20,5,21,7,1,7,28,33,11,11,5,28,5,3,19,7,5,6,18,8,9,30,13,18,38,20,26,7,11,18,35,12,0,18,6,9,4,1,14,9,16,10,5,23,8,8,7,11,5,5,15,9,9,8,5,8,3,15,21,14,9,8,5,4,12,5,8,12,20,19,10,17,5,7,8,13,10,2,4,17,8,27,25,11,14,12,10,5,22,0,13,13,11,12,16,1,4,6,4,18,8,11,6,6,11,9,3,8,22,13,6,10,0,6,14,14,9,3,7,1,8,0,7
1,5,2,4,9,4,30,5,5,3,3,8,28,1,4,3,2,7,8,4,1,1,16,15,22,9,1,5,3,29,4,7,2,4,5,13,2,5,1,6,3,5,1,1,12,9,5,3,4,4,3,4,5,7,13,3,3,11,20,4,3,17,4,4,5,0,1,1,20,3,1,10,1,7,1,3,8,3,0,6,9,4,2,14,10,6,3,4,2,3,5,4,2,2,6,3,4,8,6,3,0,5,2,2,4,3,1,6,1,2,3,2,7,9,8,18,2,8,0,8,3,3,2,4,2,4,3,2,4,2,2,4,8,1,8,2,7,2,6,3,1,8,2,7,10,5,3,3,7,8,5,7,8,1,0,10,4,4,3,1,2,5,2,0,4,2,4,8,3,3,2,1,1,2,1,2,2,2,3,2,2,0,0,5,4,2,2,2,1,6,6,1,4,10,1,2,6,1,2,0,5,2,5,7,4,2,1,8,1,0,1,5,3,1,0,2,1,0,4,1,2,2,8,2,5,4,4,1,2,5,3,1,13,1,1,3,0,3,1,3,0,2,2,7,0,2,1,7
1,7,2,1,8,4,46,8,10,6,2,4,26,0,0,6,3,11,13,2,2,2,15,9,10,8,3,12,3,31,0,10,6,3,1,5,4,9,3,0,1,1,5,3,6,1,2,5,8,4,1,3,3,3,1,7,0,12,12,1,2,17,2,6,1,2,1,5,14,7,2,3,3,10,0,0,5,2,3,3,7,2,4,3,1,3,4,0,5,3,1,2,1,3,13,2,0,10,2,2,2,10,5,1,2,4,1,0,3,2,1,4,5,1,0,7,0,10,4,15,3,2,0,1,4,1,0,1,1,3,1,3,5,0,6,0,7,3,3,0,0,0,2,0,5,1,4,6,6,14,2,13,4,10,0,8,2,4,5,1,1,5,2,2,7,0,0,3,0,0,0,3,5,1,2,1,6,0,7,0,4,7,3,5,5,0,2,0,5,2,5,5,6,2,7,1,3,1,2,3,2,2,5,1,4,3,3,1,1,2,2,0,0,6,1,1,3,1,3,2,4,0,2,4,3,2,0,0,1,7,6,1,5,2,0,5,0,1,0,1,1,1,2,0,1,3,1,7
1,16,2,4,17,9,78,15,16,8,5,6,96,4,9,17,5,10,37,6,4,3,28,29,30,9,4,13,3,90,2,17,2,0,6,17,3,12,2,8,6,13,1,7,20,10,13,3,13,22,3,6,10,22,3,10,11,29,45,12,3,37,2,4,4,6,8,1,36,9,2,19,9,12,6,4,15,3,7,17,11,8,6,28,12,8,2,7,3,15,5,2,10,0,8,9,5,9,9,6,1,6,5,2,9,5,1,8,1,7,4,3,25,19,5,25,0,16,7,13,12,8,0,8,10,4,3,8,3,0,1,5,17,1,11,2,19,3,9,2,1,8,2,6,5,2,14,4,15,8,13,25,4,2,2,12,8,6,7,6,3,8,9,6,9,6,12,7,3,0,6,3,2,10,6,0,6,3,17,1,6,8,13,16,4,5,3,2,2,6,4,1,2,3,8,3,13,1,6,2,16,5,2,2,8,6,4,12,2,2,5,1,3,6,1,6,10,5,6,5,0,5,5,1,10,10,6,0,1,7,8,2,4,4,6,14,2,5,0,3,2,5,7,2,0,0,0,7
0,15,4,25,21,14,93,6,15,2,3,16,90,9,10,18,10,24,32,0,4,1,62,35,34,16,13,9,5,94,5,10,13,8,12,50,9,23,1,1,9,4,3,13,32,19,12,9,12,8,2,15,8,14,2,11,6,25,29,11,5,20,9,3,7,6,11,3,30,7,6,32,8,26,2,5,18,2,3,2,30,9,14,18,18,10,6,5,12,9,3,7,15,3,4,4,6,23,14,5,7,21,22,4,10,8,1,6,7,5,22,11,11,12,3,22,8,18,11,16,8,5,8,3,4,7,1,5,17,0,4,9,6,2,14,4,13,9,11,6,10,3,7,12,1,7,17,7,11,14,11,13,2,9,4,24,4,18,9,0,17,7,13,2,7,4,6,9,28,2,4,3,2,4,11,15,9,1,12,2,6,11,4,15,24,1,11,4,8,19,8,2,15,6,8,2,7,0,15,7,6,8,3,3,13,4,9,6,5,12,14,4,5,8,5,11,4,5,15,1,2,2,4,6,8,6,6,2,1,3,4,0,3,7,3,7,6,9,4,6,4,4,4,0,1,0,2,7
5,16,2,6,14,9,60,6,4,5,5,7,52,4,4,7,1,11,13,0,2,3,37,15,14,11,4,5,3,49,8,5,10,5,2,11,15,11,1,0,8,6,5,8,11,10,1,5,9,3,9,13,11,4,2,9,5,15,34,6,1,25,4,1,3,4,7,2,26,2,3,27,6,12,3,1,4,4,12,4,12,5,31,8,17,6,6,2,4,6,1,1,7,2,7,8,4,4,6,3,5,11,16,10,5,5,1,3,4,5,5,14,23,10,0,24,0,11,3,12,3,4,0,2,1,9,1,3,3,6,3,0,5,1,6,3,9,3,10,2,4,2,5,8,2,0,2,3,7,13,5,4,2,3,1,28,3,6,4,2,4,3,8,3,7,1,3,9,2,2,3,1,6,2,10,3,2,7,7,5,6,20,2,3,5,0,1,2,1,9,3,0,3,5,7,5,10,2,5,7,4,2,2,2,8,2,5,3,4,5,4,0,2,3,0,2,4,4,4,6,2,6,1,4,5,2,0,5,2,3,5,4,3,5,3,3,1,1,2,3,1,5,2,1,0,10,0,7
1,13,1,13,21,15,48,10,7,19,4,10,57,5,7,29,1,35,28,6,1,6,31,21,42,9,3,5,1,58,5,14,19,3,21,23,15,23,4,3,1,5,8,1,22,13,15,7,38,28,4,1,7,12,3,6,4,26,33,15,5,26,6,2,11,2,14,2,29,5,2,30,9,26,2,4,10,5,7,10,12,6,7,24,7,16,2,18,1,16,7,4,13,6,29,15,9,8,3,6,7,18,4,6,8,3,2,1,3,0,9,0,14,14,8,10,13,4,2,10,3,6,11,6,2,3,8,4,3,2,2,7,5,9,5,7,8,5,4,9,3,3,2,3,1,3,16,7,4,13,13,6,1,5,0,13,9,1,7,1,1,11,2,5,9,4,5,3,3,5,8,9,3,6,4,7,3,1,4,1,3,16,5,9,7,2,3,0,4,9,8,8,11,9,11,8,7,1,2,3,2,3,6,1,9,1,13,7,10,9,7,8,1,8,3,6,0,4,4,6,1,7,4,4,5,4,0,2,6,16,13,2,1,8,6,12,1,3,11,3,1,8,1,6,0,2,1,7
0,19,5,16,27,7,74,15,16,10,3,7,99,2,5,19,3,17,50,10,6,1,41,19,27,19,4,11,4,97,1,9,12,8,4,26,9,26,1,0,6,3,9,0,27,11,5,4,7,13,3,9,6,7,3,8,4,41,27,7,5,18,3,0,5,9,12,2,22,4,3,19,4,26,6,8,5,3,6,4,24,13,6,10,9,9,1,6,7,12,5,1,9,5,5,7,7,7,13,11,5,11,21,9,7,7,4,5,6,3,13,15,21,12,2,29,7,20,6,11,7,9,5,2,3,10,6,7,11,2,6,7,4,1,5,1,13,6,11,5,6,0,6,1,6,5,15,2,13,6,7,19,3,6,6,18,19,0,11,0,1,4,18,3,7,3,8,6,6,1,8,9,3,5,4,5,3,2,12,3,3,10,6,15,12,3,10,3,0,16,6,4,17,7,7,6,8,5,6,6,10,4,1,7,10,3,4,3,5,6,9,1,6,6,6,8,3,1,1,4,1,2,3,3,5,12,3,2,1,7,6,4,2,4,1,4,0,10,0,7,0,0,11,1,1,1,0,7
11,30,11,6,34,16,160,19,24,18,5,10,181,10,8,20,12,40,67,6,12,9,66,53,82,34,9,17,47,169,9,25,30,13,18,38,6,36,12,7,9,18,5,1,67,15,20,12,31,18,6,19,23,27,9,15,17,45,83,34,10,73,5,4,10,10,7,6,60,13,9,29,9,32,9,23,18,21,10,9,22,9,16,28,27,25,5,2,10,28,4,4,24,1,32,10,34,26,14,16,2,28,26,11,26,16,6,12,6,14,3,9,33,38,16,49,3,32,13,27,13,38,8,15,9,12,8,38,21,1,15,21,17,3,29,8,20,5,18,10,13,2,9,23,6,9,30,4,12,18,20,22,2,30,6,15,7,17,14,5,8,12,21,12,29,10,17,10,7,8,10,28,7,6,9,7,8,14,18,8,8,22,11,38,5,8,3,2,5,24,5,9,9,14,16,8,19,5,21,7,39,3,7,24,17,12,7,20,6,8,16,7,3,12,1,9,12,12,13,4,11,3,9,4,5,8,8,7,17,6,10,5,9,1,8,10,4,6,2,6,5,2,12,15,0,1,13,7
