"The","nt ","ng ","he "," th","ent","ion"," of","ed ","in "," an","d t","the","for"," to","on ","ing","tio","ati","d i","n t","of ","nd ","and"," in","er ","to ","an "," co","es ","e a","s, ","al "," fo"," wa"," wh","re ","s a","as "," Th"," a "," is","ter","th ","or ","s. ","is "," re","was","d a"," on","ers","at "," by","n a","ted","qualityClass"
8,6,30,63,46,14,28,26,32,32,26,10,59,8,16,20,28,19,13,7,11,29,23,18,37,32,16,15,10,20,9,12,17,3,11,8,8,15,15,6,14,3,7,9,6,7,5,15,16,10,10,7,17,8,6,9,7
27,34,101,279,262,68,50,111,102,53,90,61,235,23,56,55,105,45,48,22,38,115,104,69,82,39,54,15,70,36,27,23,34,23,27,23,44,38,50,22,42,15,29,28,31,17,21,34,20,26,18,10,28,12,23,34,7
25,23,62,169,165,68,74,104,95,76,95,29,152,33,36,58,74,57,32,21,36,77,101,76,82,62,45,24,47,53,19,37,59,31,20,19,19,42,42,30,41,24,46,52,32,39,30,31,14,16,15,28,24,22,19,31,7
11,14,36,83,70,18,27,42,45,23,34,32,104,17,34,33,30,23,14,7,15,33,38,51,37,53,29,20,14,9,11,5,15,15,14,16,12,15,23,18,22,2,14,17,8,11,8,17,10,10,14,22,8,8,16,13,7
9,15,41,108,112,42,40,57,72,58,61,27,117,18,58,41,39,44,22,11,22,47,56,63,47,37,46,10,29,18,15,13,38,32,36,19,24,19,23,18,31,6,18,24,21,6,42,37,29,25,23,14,9,7,16,19,7
23,35,105,219,241,70,107,147,172,125,138,74,197,42,74,108,109,93,59,24,56,147,118,128,109,51,72,33,53,52,31,47,62,36,38,32,38,57,78,19,57,11,32,30,23,29,88,49,44,34,56,17,47,21,47,45,7
13,2,35,96,110,11,14,30,39,14,42,15,92,19,24,28,35,12,7,5,19,27,41,39,16,29,25,14,9,16,8,9,9,3,17,12,10,11,20,12,22,10,14,15,14,5,16,14,14,7,16,11,18,11,12,9,7
9,4,43,115,111,23,22,63,58,43,34,27,102,36,33,20,44,14,4,22,16,57,54,48,65,38,38,17,26,23,17,9,16,24,28,13,19,10,40,9,46,5,21,12,33,6,23,26,24,15,13,14,30,10,31,18,7
33,35,87,251,296,63,77,94,165,86,89,76,257,36,106,54,129,62,25,14,37,93,103,83,85,89,101,19,51,68,35,26,54,57,46,24,50,48,74,33,50,12,54,33,46,37,50,54,49,30,41,28,65,24,23,52,7
16,22,66,166,176,56,69,119,139,66,110,36,188,36,77,129,93,61,53,15,45,117,113,104,74,62,64,17,39,27,32,49,63,38,31,29,40,52,71,20,33,11,48,30,31,32,71,53,37,33,33,39,40,15,34,31,7
7,26,56,69,100,49,59,60,51,33,67,26,87,19,31,61,53,39,51,7,18,63,51,43,80,34,34,15,25,35,28,24,28,17,8,17,37,28,29,8,30,33,30,18,38,20,26,35,1,9,8,3,21,5,19,17,7
5,4,9,30,28,3,7,8,16,15,22,9,29,2,13,5,12,4,4,5,7,11,20,17,20,10,7,8,9,14,6,3,6,5,2,4,7,9,18,8,8,8,3,7,8,5,7,10,2,4,3,0,5,6,1,4,7
7,1,8,46,26,6,11,13,15,9,10,8,31,6,5,9,6,8,4,3,3,12,12,17,14,3,10,5,7,3,3,3,13,10,5,2,5,1,7,10,15,5,4,6,14,2,13,8,2,7,7,7,5,5,7,4,7
16,4,17,78,96,17,10,37,28,29,30,9,90,2,17,12,20,13,22,10,22,29,45,37,36,19,12,15,11,28,8,15,8,6,5,9,25,19,25,16,13,17,14,15,8,13,25,12,9,9,17,8,16,4,8,8,7
15,25,21,93,90,18,24,32,62,35,34,16,94,13,50,23,32,12,8,8,14,25,29,20,30,32,26,18,30,18,10,9,4,21,22,10,11,12,22,18,16,6,17,11,14,11,13,24,13,7,12,11,15,8,8,13,7
16,6,14,60,52,7,11,13,37,15,14,11,49,10,11,11,11,9,3,11,4,15,34,25,26,27,12,4,12,8,6,6,7,11,16,5,23,10,24,11,12,5,2,7,13,5,4,28,8,7,7,20,3,3,7,8,7
13,13,21,48,57,29,35,28,31,21,42,9,58,19,23,23,22,38,28,7,12,26,33,26,29,30,26,10,12,24,16,16,29,18,4,8,14,14,10,4,10,5,16,4,13,13,6,13,2,9,4,16,9,8,11,9,7
