"The","ng ","he "," th","ent","ion"," of","ed ","in "," an","the","on ","ing","tio","of ","nd ","and"," in","er ","an "," co","es ","al ","re ","s a","as "," a "," is","or ","is ","qualityClass"
8,30,63,46,14,28,26,32,32,26,59,20,28,19,29,23,18,37,32,15,10,20,17,8,15,15,14,3,6,5,7
27,101,279,262,68,50,111,102,53,90,235,55,105,45,115,104,69,82,39,15,70,36,34,44,38,50,42,15,31,21,7
25,62,169,165,68,74,104,95,76,95,152,58,74,57,77,101,76,82,62,24,47,53,59,19,42,42,41,24,32,30,7
11,36,83,70,18,27,42,45,23,34,104,33,30,23,33,38,51,37,53,20,14,9,15,12,15,23,22,2,8,8,7
9,41,108,112,42,40,57,72,58,61,117,41,39,44,47,56,63,47,37,10,29,18,38,24,19,23,31,6,21,42,7
23,105,219,241,70,107,147,172,125,138,197,108,109,93,147,118,128,109,51,33,53,52,62,38,57,78,57,11,23,88,7
13,35,96,110,11,14,30,39,14,42,92,28,35,12,27,41,39,16,29,14,9,16,9,10,11,20,22,10,14,16,7
9,43,115,111,23,22,63,58,43,34,102,20,44,14,57,54,48,65,38,17,26,23,16,19,10,40,46,5,33,23,7
33,87,251,296,63,77,94,165,86,89,257,54,129,62,93,103,83,85,89,19,51,68,54,50,48,74,50,12,46,50,7
16,66,166,176,56,69,119,139,66,110,188,129,93,61,117,113,104,74,62,17,39,27,63,40,52,71,33,11,31,71,7
7,56,69,100,49,59,60,51,33,67,87,61,53,39,63,51,43,80,34,15,25,35,28,37,28,29,30,33,38,26,7
5,9,30,28,3,7,8,16,15,22,29,5,12,4,11,20,17,20,10,8,9,14,6,7,9,18,8,8,8,7,7
7,8,46,26,6,11,13,15,9,10,31,9,6,8,12,12,17,14,3,5,7,3,13,5,1,7,15,5,14,13,7
16,17,78,96,17,10,37,28,29,30,90,12,20,13,29,45,37,36,19,15,11,28,8,25,19,25,13,17,8,25,7
15,21,93,90,18,24,32,62,35,34,94,23,32,12,25,29,20,30,32,18,30,18,4,11,12,22,16,6,14,13,7
16,14,60,52,7,11,13,37,15,14,49,11,11,9,15,34,25,26,27,4,12,8,7,23,10,24,12,5,13,4,7
13,21,48,57,29,35,28,31,21,42,58,23,22,38,26,33,26,29,30,10,12,24,29,14,14,10,10,5,13,6,7
19,27,74,99,19,17,50,41,19,27,97,26,27,7,41,27,18,22,19,5,24,10,5,21,12,29,11,4,6,19,7
30,34,160,181,20,40,67,66,53,82,169,36,67,31,45,83,73,60,29,18,22,28,32,33,38,49,27,17,18,22,7
20,47,191,195,44,35,66,97,41,70,178,42,39,33,73,77,68,69,59,23,22,19,19,30,29,58,34,1,28,19,7
20,26,110,103,29,62,61,51,51,66,103,41,20,34,67,53,63,47,43,20,37,40,26,32,35,35,35,48,19,29,7
10,25,69,74,28,17,43,57,42,42,75,18,36,21,42,65,49,43,23,14,24,38,18,13,30,40,22,12,18,19,7
7,16,69,70,11,18,16,52,19,26,64,13,19,16,18,35,26,27,19,10,6,21,6,16,16,22,19,7,5,12,7
14,21,77,100,18,19,30,48,17,42,97,19,20,8,35,40,38,41,35,18,15,8,19,20,11,32,23,8,9,23,7
24,43,230,206,41,67,104,82,63,90,204,48,56,40,102,90,98,84,46,54,30,34,51,39,49,51,26,23,25,42,7
10,21,126,132,21,17,82,48,34,51,117,27,28,15,69,48,44,45,29,33,28,18,30,28,35,31,57,27,30,30,7
15,26,107,122,37,31,67,79,41,39,110,24,29,23,52,56,44,37,32,14,21,17,28,25,20,47,25,1,15,7,7
8,47,74,65,20,22,29,36,14,25,49,23,25,9,22,20,26,34,27,13,11,5,10,10,8,19,21,4,4,5,7
20,57,128,147,33,29,74,109,33,71,123,58,75,25,63,45,68,59,54,47,30,27,24,19,33,51,51,16,17,15,7
11,16,46,64,11,11,33,30,10,17,52,11,28,16,24,10,15,14,11,5,8,3,6,9,8,7,12,0,8,4,7
21,37,97,110,27,38,58,74,37,70,138,52,54,34,62,96,40,71,33,24,33,40,41,37,36,30,34,25,31,47,7
11,21,42,34,13,17,33,29,29,30,42,17,27,9,22,16,17,19,20,3,14,8,4,3,9,19,7,9,6,21,7
3,17,34,36,7,17,27,40,13,13,51,16,12,10,20,17,23,25,14,12,13,6,2,15,10,8,5,0,5,4,7
9,8,68,58,8,7,31,29,9,16,62,12,16,11,36,13,17,13,13,10,7,4,10,2,10,12,15,7,2,15,7
3,19,42,58,17,17,29,46,23,26,52,13,16,9,20,20,19,30,15,14,8,15,5,8,12,23,13,1,8,19,7
5,21,108,94,26,42,53,66,49,38,113,27,22,34,42,62,57,55,40,21,15,11,17,12,18,36,29,6,15,36,7
41,64,261,249,43,44,85,128,48,61,232,84,67,57,80,71,75,71,95,24,77,47,24,51,33,50,35,4,34,18,7
1,17,38,41,12,21,24,24,17,28,44,9,10,8,26,29,26,22,47,8,7,7,7,6,14,21,13,1,12,5,7
16,44,152,158,23,40,78,114,39,71,139,41,70,30,76,60,52,45,51,51,32,17,31,30,26,56,46,12,14,23,7
3,34,57,77,20,9,33,48,22,22,69,18,31,6,32,36,40,24,22,8,11,13,5,14,12,24,22,2,11,22,7
6,11,53,53,13,19,16,36,5,14,38,13,24,15,19,19,20,9,10,8,7,8,13,15,8,14,9,0,12,0,7
12,72,220,273,87,78,114,184,70,130,231,84,95,78,125,136,124,104,58,20,54,23,76,34,45,66,59,12,42,78,7
17,19,81,66,11,13,19,33,17,21,64,24,24,4,25,33,23,20,24,5,12,21,11,16,9,21,18,3,17,14,7
11,22,65,83,5,19,28,31,24,20,87,24,21,22,31,17,18,20,20,7,23,11,4,18,5,20,12,6,11,11,7
4,21,42,61,13,14,32,30,22,39,57,9,20,16,23,38,39,28,10,14,15,12,9,12,14,9,4,4,6,12,7
7,25,76,81,18,24,60,44,22,45,53,15,27,13,43,27,38,40,19,17,19,12,7,17,17,21,19,9,13,34,7
60,90,346,315,70,105,126,195,107,150,299,116,103,59,130,180,154,120,108,46,63,119,55,45,86,106,107,13,91,81,7
19,73,290,336,74,116,158,177,120,136,247,105,87,112,152,135,134,115,106,44,80,59,68,39,57,78,74,13,32,73,7
42,90,259,265,76,99,127,115,101,125,278,82,68,76,145,140,127,131,75,46,68,69,62,44,61,60,62,40,31,53,7
24,52,165,178,36,64,66,113,61,73,146,56,50,50,48,67,74,89,69,26,40,38,18,22,28,70,44,26,28,16,7
33,60,142,203,58,91,134,93,78,109,186,58,73,86,92,111,85,107,43,35,49,83,71,84,67,60,45,37,42,50,7
9,24,41,62,8,10,18,57,28,24,52,17,25,10,19,19,25,23,32,8,13,5,7,10,9,20,16,1,7,2,7
19,14,101,117,19,29,63,66,39,47,112,29,29,25,44,52,62,53,29,8,18,35,31,22,17,34,28,14,18,40,7
17,22,75,117,25,25,52,55,53,42,91,32,33,39,66,34,39,66,15,19,36,34,13,18,35,10,37,30,17,42,7
14,30,93,127,28,39,73,58,27,41,99,27,29,16,59,51,53,45,29,16,19,37,17,20,26,32,26,13,10,16,7
21,62,175,199,53,64,82,118,52,81,206,67,60,55,87,81,87,51,43,24,34,45,23,30,43,50,38,37,22,28,7
8,24,76,102,26,60,63,53,32,44,72,47,25,61,54,35,42,53,20,13,25,17,24,11,30,28,11,8,13,18,7
28,66,269,259,40,39,79,135,58,93,222,123,99,28,77,89,80,101,93,30,33,61,38,38,55,92,81,28,47,82,7
12,20,78,82,12,18,32,34,28,23,70,22,19,15,24,21,16,27,13,14,29,23,6,14,9,23,15,9,10,7,7
24,40,160,177,42,51,81,65,68,70,128,27,41,46,92,67,57,82,49,41,38,36,31,21,29,102,42,20,24,69,7
4,19,44,64,28,8,24,42,25,12,51,13,14,7,21,18,21,22,18,5,19,10,5,8,12,13,13,2,20,15,7
