"ng ","he "," th"," of","ed ","in "," an","the","on ","ing","of ","nd ","and"," in","er ","s a","as "," a ","is ","qualityClass"
30,63,46,26,32,32,26,59,20,28,29,23,18,37,32,15,15,14,5,7
101,279,262,111,102,53,90,235,55,105,115,104,69,82,39,38,50,42,21,7
62,169,165,104,95,76,95,152,58,74,77,101,76,82,62,42,42,41,30,7
36,83,70,42,45,23,34,104,33,30,33,38,51,37,53,15,23,22,8,7
41,108,112,57,72,58,61,117,41,39,47,56,63,47,37,19,23,31,42,7
105,219,241,147,172,125,138,197,108,109,147,118,128,109,51,57,78,57,88,7
35,96,110,30,39,14,42,92,28,35,27,41,39,16,29,11,20,22,16,7
43,115,111,63,58,43,34,102,20,44,57,54,48,65,38,10,40,46,23,7
87,251,296,94,165,86,89,257,54,129,93,103,83,85,89,48,74,50,50,7
66,166,176,119,139,66,110,188,129,93,117,113,104,74,62,52,71,33,71,7
56,69,100,60,51,33,67,87,61,53,63,51,43,80,34,28,29,30,26,7
9,30,28,8,16,15,22,29,5,12,11,20,17,20,10,9,18,8,7,7
8,46,26,13,15,9,10,31,9,6,12,12,17,14,3,1,7,15,13,7
17,78,96,37,28,29,30,90,12,20,29,45,37,36,19,19,25,13,25,7
21,93,90,32,62,35,34,94,23,32,25,29,20,30,32,12,22,16,13,7
14,60,52,13,37,15,14,49,11,11,15,34,25,26,27,10,24,12,4,7
21,48,57,28,31,21,42,58,23,22,26,33,26,29,30,14,10,10,6,7
27,74,99,50,41,19,27,97,26,27,41,27,18,22,19,12,29,11,19,7
34,160,181,67,66,53,82,169,36,67,45,83,73,60,29,38,49,27,22,7
47,191,195,66,97,41,70,178,42,39,73,77,68,69,59,29,58,34,19,7
26,110,103,61,51,51,66,103,41,20,67,53,63,47,43,35,35,35,29,7
25,69,74,43,57,42,42,75,18,36,42,65,49,43,23,30,40,22,19,7
16,69,70,16,52,19,26,64,13,19,18,35,26,27,19,16,22,19,12,7
21,77,100,30,48,17,42,97,19,20,35,40,38,41,35,11,32,23,23,7
