"he "," th"," of","ed "," an","the","of ","and"," in","qualityClass"
63,46,26,32,26,59,29,18,37,7
279,262,111,102,90,235,115,69,82,7
169,165,104,95,95,152,77,76,82,7
83,70,42,45,34,104,33,51,37,7
108,112,57,72,61,117,47,63,47,7
219,241,147,172,138,197,147,128,109,7
96,110,30,39,42,92,27,39,16,7
115,111,63,58,34,102,57,48,65,7
251,296,94,165,89,257,93,83,85,7
166,176,119,139,110,188,117,104,74,7
69,100,60,51,67,87,63,43,80,7
30,28,8,16,22,29,11,17,20,7
46,26,13,15,10,31,12,17,14,7
78,96,37,28,30,90,29,37,36,7
93,90,32,62,34,94,25,20,30,7
60,52,13,37,14,49,15,25,26,7
48,57,28,31,42,58,26,26,29,7
74,99,50,41,27,97,41,18,22,7
160,181,67,66,82,169,45,73,60,7
191,195,66,97,70,178,73,68,69,7
110,103,61,51,66,103,67,63,47,7
69,74,43,57,42,75,42,49,43,7
69,70,16,52,26,64,18,26,27,7
77,100,30,48,42,97,35,38,41,7
230,206,104,82,90,204,102,98,84,7
126,132,82,48,51,117,69,44,45,7
107,122,67,79,39,110,52,44,37,7
74,65,29,36,25,49,22,26,34,7
128,147,74,109,71,123,63,68,59,7
46,64,33,30,17,52,24,15,14,7
97,110,58,74,70,138,62,40,71,7
42,34,33,29,30,42,22,17,19,7
34,36,27,40,13,51,20,23,25,7
68,58,31,29,16,62,36,17,13,7
42,58,29,46,26,52,20,19,30,7
108,94,53,66,38,113,42,57,55,7
261,249,85,128,61,232,80,75,71,7
38,41,24,24,28,44,26,26,22,7
152,158,78,114,71,139,76,52,45,7
57,77,33,48,22,69,32,40,24,7
53,53,16,36,14,38,19,20,9,7
220,273,114,184,130,231,125,124,104,7
81,66,19,33,21,64,25,23,20,7
65,83,28,31,20,87,31,18,20,7
42,61,32,30,39,57,23,39,28,7
76,81,60,44,45,53,43,38,40,7
346,315,126,195,150,299,130,154,120,7
290,336,158,177,136,247,152,134,115,7
259,265,127,115,125,278,145,127,131,7
165,178,66,113,73,146,48,74,89,7
142,203,134,93,109,186,92,85,107,7
41,62,18,57,24,52,19,25,23,7
101,117,63,66,47,112,44,62,53,7
75,117,52,55,42,91,66,39,66,7
93,127,73,58,41,99,59,53,45,7
175,199,82,118,81,206,87,87,51,7
76,102,63,53,44,72,54,42,53,7
269,259,79,135,93,222,77,80,101,7
78,82,32,34,23,70,24,16,27,7
160,177,81,65,70,128,92,57,82,7
44,64,24,42,12,51,21,21,22,7
47,75,38,31,39,62,39,25,26,7
92,79,32,60,43,78,29,19,27,7
45,35,11,26,15,36,17,23,15,7
164,160,78,81,62,137,64,66,74,7
266,330,130,169,134,278,130,117,187,7
68,93,36,70,39,85,34,32,44,7
287,362,105,207,105,308,86,216,100,7
41,41,21,23,9,37,31,16,16,7
102,114,65,74,43,114,69,48,44,7
51,78,36,49,39,76,29,27,34,7
92,82,35,52,24,81,21,22,17,7
47,26,13,20,21,38,22,20,13,7
175,215,78,110,75,152,74,75,88,7
71,80,31,40,32,73,30,28,54,7
101,128,46,89,59,127,53,60,42,7
156,163,82,76,68,167,72,92,83,7
137,129,86,68,54,140,61,47,57,7
140,139,72,72,76,118,79,54,56,7
34,34,21,16,24,32,19,17,14,7
152,144,47,98,86,129,68,95,89,7
79,79,35,43,49,93,36,47,39,7
35,50,22,32,14,55,11,16,14,7
111,103,32,37,41,110,34,31,43,7
42,50,27,30,16,46,29,25,15,7
363,395,133,171,118,361,126,136,90,7
499,555,248,260,201,527,220,219,231,7
45,49,20,25,12,47,18,14,22,7
68,55,22,34,23,51,29,18,19,7
34,54,12,20,16,41,26,17,15,7
89,123,47,84,65,95,55,68,38,7
174,217,111,56,66,216,104,61,72,7
