"he "," th","the"," in","qualityClass"
63,46,59,37,7
279,262,235,82,7
169,165,152,82,7
83,70,104,37,7
108,112,117,47,7
219,241,197,109,7
96,110,92,16,7
115,111,102,65,7
251,296,257,85,7
166,176,188,74,7
69,100,87,80,7
30,28,29,20,7
46,26,31,14,7
78,96,90,36,7
93,90,94,30,7
60,52,49,26,7
48,57,58,29,7
74,99,97,22,7
160,181,169,60,7
191,195,178,69,7
110,103,103,47,7
69,74,75,43,7
69,70,64,27,7
77,100,97,41,7
230,206,204,84,7
126,132,117,45,7
107,122,110,37,7
74,65,49,34,7
128,147,123,59,7
46,64,52,14,7
97,110,138,71,7
42,34,42,19,7
34,36,51,25,7
68,58,62,13,7
42,58,52,30,7
108,94,113,55,7
261,249,232,71,7
38,41,44,22,7
152,158,139,45,7
57,77,69,24,7
53,53,38,9,7
220,273,231,104,7
81,66,64,20,7
65,83,87,20,7
42,61,57,28,7
76,81,53,40,7
346,315,299,120,7
290,336,247,115,7
259,265,278,131,7
165,178,146,89,7
142,203,186,107,7
41,62,52,23,7
101,117,112,53,7
75,117,91,66,7
93,127,99,45,7
175,199,206,51,7
76,102,72,53,7
269,259,222,101,7
78,82,70,27,7
160,177,128,82,7
44,64,51,22,7
47,75,62,26,7
92,79,78,27,7
45,35,36,15,7
164,160,137,74,7
266,330,278,187,7
68,93,85,44,7
287,362,308,100,7
41,41,37,16,7
102,114,114,44,7
51,78,76,34,7
92,82,81,17,7
47,26,38,13,7
175,215,152,88,7
71,80,73,54,7
101,128,127,42,7
156,163,167,83,7
137,129,140,57,7
140,139,118,56,7
34,34,32,14,7
152,144,129,89,7
79,79,93,39,7
35,50,55,14,7
111,103,110,43,7
42,50,46,15,7
363,395,361,90,7
499,555,527,231,7
45,49,47,22,7
68,55,51,19,7
34,54,41,15,7
89,123,95,38,7
174,217,216,72,7
131,134,127,76,7
50,66,64,18,7
78,82,65,52,7
154,164,171,63,7
108,125,108,98,7
166,161,125,96,7
68,94,62,37,7
101,113,117,30,7
71,86,59,39,6
71,79,77,34,6
58,47,48,14,6
75,76,74,24,6
184,159,119,65,6
161,181,166,65,6
28,45,37,20,6
68,79,71,16,6
63,92,66,23,6
91,105,96,50,6
76,111,85,28,6
133,127,117,63,6
9,9,15,5,6
120,115,117,44,6
38,35,41,13,6
89,79,80,34,6
73,48,51,14,6
114,129,127,46,6
38,38,45,15,6
312,337,301,84,6
121,157,144,30,6
39,27,40,15,6
102,138,139,22,6
206,257,240,117,6
116,91,98,44,6
53,44,39,19,6
106,105,116,31,6
378,414,361,129,6
79,95,107,19,6
