" th","qualityClass"
46,7
262,7
165,7
70,7
112,7
241,7
110,7
111,7
296,7
176,7
100,7
28,7
26,7
96,7
90,7
52,7
57,7
99,7
181,7
195,7
103,7
74,7
70,7
100,7
206,7
132,7
122,7
65,7
147,7
64,7
110,7
34,7
36,7
58,7
58,7
94,7
249,7
41,7
158,7
77,7
53,7
273,7
66,7
83,7
61,7
81,7
315,7
336,7
265,7
178,7
203,7
62,7
117,7
117,7
127,7
199,7
102,7
259,7
82,7
177,7
64,7
75,7
79,7
35,7
160,7
330,7
93,7
362,7
41,7
114,7
78,7
82,7
26,7
215,7
80,7
128,7
163,7
129,7
139,7
34,7
144,7
79,7
50,7
103,7
50,7
395,7
555,7
49,7
55,7
54,7
123,7
217,7
134,7
66,7
82,7
164,7
125,7
161,7
94,7
113,7
86,6
79,6
47,6
76,6
159,6
181,6
45,6
79,6
92,6
105,6
111,6
127,6
9,6
115,6
35,6
79,6
48,6
129,6
38,6
337,6
157,6
27,6
138,6
257,6
91,6
44,6
105,6
414,6
95,6
55,6
158,6
307,6
24,6
16,6
283,6
59,6
407,6
81,6
115,6
88,6
244,6
88,6
17,6
40,6
59,6
55,6
103,6
142,6
191,6
11,6
151,6
52,6
124,6
101,6
109,6
111,6
63,6
80,6
100,6
28,6
93,6
222,6
104,6
153,6
61,6
26,6
23,6
344,6
124,6
22,6
87,6
68,6
161,6
84,6
102,6
49,6
68,6
111,6
101,6
108,6
229,6
50,6
70,6
59,6
180,6
99,6
36,6
153,6
38,6
190,6
159,6
28,6
160,6
35,6
23,6
147,6
140,6
92,6
20,6
44,6
57,5
230,5
64,5
237,5
22,5
90,5
185,5
120,5
116,5
39,5
42,5
61,5
55,5
40,5
46,5
35,5
90,5
118,5
50,5
164,5
69,5
47,5
44,5
376,5
76,5
169,5
89,5
129,5
211,5
80,5
206,5
40,5
69,5
106,5
81,5
5,5
144,5
107,5
148,5
87,5
31,5
169,5
60,5
31,5
67,5
65,5
150,5
261,5
75,5
123,5
288,5
16,5
81,5
28,5
30,5
24,5
164,5
18,5
475,5
34,5
83,5
84,5
111,5
32,5
23,5
57,5
46,5
204,5
50,5
58,5
315,5
40,5
13,5
101,5
136,5
38,5
178,5
24,5
92,5
145,5
80,5
61,5
34,5
78,5
15,5
80,5
171,5
69,5
60,5
78,5
89,5
18,5
87,5
73,5
34,5
14,5
28,5
158,5
74,5
30,5
37,4
30,4
177,4
21,4
162,4
86,4
44,4
97,4
29,4
45,4
105,4
136,4
7,4
256,4
142,4
167,4
11,4
189,4
175,4
197,4
45,4
137,4
48,4
127,4
456,4
21,4
80,4
56,4
19,4
141,4
187,4
167,4
144,4
113,4
21,4
71,4
50,4
48,4
261,4
154,4
56,4
82,4
85,4
62,4
279,4
307,4
232,4
41,4
31,4
434,4
154,4
93,4
205,4
44,4
54,4
263,4
109,4
1,4
67,4
3,4
58,4
182,4
18,4
123,4
28,4
12,4
31,4
43,4
61,4
122,4
30,4
91,4
32,4
91,4
208,4
9,4
38,4
229,4
58,4
101,4
3,4
184,4
283,4
11,4
169,4
45,4
366,4
23,4
57,4
19,4
100,4
171,4
152,4
93,4
163,4
221,4
62,4
109,4
78,4
166,4
43,3
2,3
36,3
56,3
143,3
8,3
14,3
25,3
96,3
83,3
19,3
126,3
32,3
62,3
59,3
7,3
54,3
24,3
33,3
63,3
148,3
41,3
38,3
30,3
153,3
4,3
21,3
17,3
14,3
17,3
163,3
92,3
72,3
42,3
25,3
24,3
20,3
8,3
28,3
38,3
7,3
8,3
213,3
3,3
75,3
36,3
92,3
42,3
220,3
134,3
269,3
19,3
429,3
19,3
10,3
22,3
143,3
11,3
120,3
37,3
83,3
57,3
19,3
39,3
66,3
19,3
35,3
140,3
19,3
20,3
28,3
274,3
41,3
21,3
133,3
19,3
0,3
11,3
20,3
42,3
210,3
58,3
480,3
97,3
51,3
86,3
18,3
100,3
31,3
63,3
30,3
81,3
22,3
17,3
86,3
397,3
108,3
9,3
18,3
370,3
30,2
6,2
0,2
2,2
7,2
13,2
5,2
22,2
2,2
8,2
2,2
12,2
48,2
15,2
31,2
33,2
3,2
23,2
5,2
9,2
2,2
0,2
14,2
12,2
0,2
12,2
8,2
40,2
16,2
7,2
10,2
4,2
14,2
18,2
8,2
49,2
6,2
22,2
45,2
41,2
52,2
2,2
11,2
27,2
1,2
4,2
34,2
16,2
81,2
58,2
13,2
14,2
4,2
19,2
13,2
11,2
20,2
18,2
5,2
62,2
2,2
2,2
27,2
16,2
11,2
2,2
10,2
1,2
35,2
6,2
1,2
11,2
9,2
70,2
47,2
5,2
3,2
5,2
66,2
7,2
17,2
8,2
17,2
1,2
35,2
7,2
11,2
5,2
2,2
2,2
25,2
5,2
7,2
13,2
51,2
55,2
47,2
17,2
8,2
78,2
1,1
1,1
15,1
1,1
2,1
1,1
2,1
20,1
3,1
4,1
2,1
3,1
23,1
4,1
2,1
2,1
4,1
4,1
3,1
3,1
6,1
4,1
3,1
2,1
11,1
2,1
20,1
20,1
2,1
3,1
0,1
1,1
8,1
3,1
5,1
10,1
2,1
3,1
4,1
1,1
3,1
4,1
1,1
0,1
9,1
4,1
31,1
10,1
6,1
7,1
3,1
3,1
4,1
1,1
1,1
1,1
3,1
5,1
3,1
0,1
1,1
1,1
2,1
15,1
7,1
6,1
8,1
6,1
4,1
11,1
102,1
0,1
5,1
1,1
1,1
6,1
8,1
2,1
1,1
1,1
9,1
1,1
13,1
2,1
1,1
2,1
0,1
1,1
6,1
2,1
0,1
2,1
2,1
2,1
1,1
2,1
1,1
3,1
4,1
1,1
