"characterCount","wordCount","syllableCount","sentenceCount","sectionCount","subsectionCount","paragraphCount","meanSectionSize","meanParagraphSize","largestSectionSize","shortestSectionSize","largestShortestSectionRatio","sectionSizeStandardDeviation","meanOfSubsectionsPerSection","abstractSize","abstractSizeArtcileLengthRatio","citationCount","citationCountPerSentence","citationCountPerSection","externalLinksCount","externalLinksPerSentence","externalLinksPerSection","imageCount","imagePerSentence","imagePerSection","meanSentenceSize","largestSentenceSize","shortestSentenceSize","largeSentenceRate","shortSentenceRate","questionCount","questionRatio","exclamationCount","exclamationRatio","toBeVerbCount","toBeVerbRatio","toBeVerbPerSentence","toBeVerbRate","modalAuxiliaryVerbCount","modalAuxiliaryVerbsRatio","modalAuxiliaryVerbsPerSentence","modalAuxiliaryVerbsRate","passiveVoiceCount","passiveVoiceRatio","passiveVoicePerSentence","passiveVoiceRate","numberOfSentencesThatStartWithACoordinatingConjunction","numberOfSentencesThatStartWithADeterminer","numberOfSentencesThatStartWithASubordinatingPrepositionOrConjunction","numberOfSentencesThatStartWithAnAdjective","numberOfSentencesThatStartWithANoun","numberOfSentencesThatStartWithAPronoun","numberOfSentencesThatStartWithAnAdverb","numberOfSentencesThatStartWithAnArticle","numberOfSentencesThatStartWithACoordinatingConjunctionRatio","numberOfSentencesThatStartWithADeterminerRatio","numberOfSentencesThatStartWithASubordinatingPrepositionOrConjunctionRatio","numberOfSentencesThatStartWithAnAdjectiveRatio","numberOfSentencesThatStartWithANounRatio","numberOfSentencesThatStartWithAPronounRatio","numberOfSentencesThatStartWithAnAdverbRatio","numberOfSentencesThatStartWithAnArticleRatio","automatedReadabilityIndex","colemanLiauIndex","fleshReadingEase","fleschKincaidGradeLevel","gunningFogIndex","lasbarhetsIndex","smogGrading","daleChallReadabilityFormula","differentWordCount","differentWordsPerSentence","differentWordsRate","nounCount","nounsPerSentence","nounsRate","differentNounCount","differentNounsPerSentence","differentNounsRate","differentNounsDifferentWordsRatio","verbCount","verbsPerSentence","verbsRate","differentVerbCount","differentVerbsPerSentence","differentVerbsRate","differentVerbsDifferentWordsRatio","pronounCount","pronounsPerSentence","pronounsRate","differentPronounCount","differentPronounsPerSentence","differentPronounsRate","differentPronounsDifferentWordsRatio","adjectiveCount","adjectivesPerSentence","adjectivesRate","differentAdjectiveCount","differentAdjectivesPerSentence","differentAdjectivesRate","differentAdjectivesDifferentWordsRatio","adverbCount","adverbsPerSentence","adverbsRate","differentAdverbCount","differentAdverbsPerSentence","differentAdverbsRate","differentAdverbsDifferentWordsRatio","coordinatingConjunctionCount","coordinatingConjunctionsPerSentence","coordinatingConjunctionsRate","differentCoordinatingConjunctionCount","differentCoordinatingConjunctionsPerSentence","differentCoordinatingConjunctionsRate","differentCoordinatingConjunctionsDifferentWordsRatio","subordinatingPrepositionAndConjunctionCount","subordinatingPrepositionsAndConjunctionsPerSentence","subordinatingPrepositionsAndConjunctionsRate","differentSubordinatingPrepositionAndConjunctionCount","differentSubordinatingPrepositionsAndConjunctionsPerSentence","differentSubordinatingPrepositionsAndConjunctionsRate","differentSubordinatingPrepositionsAndConjunctionsDifferentWordsRatio","syllablesPerWord","charactersPerWord","he_","ing","ng_","_th","the","_of","of_","in_","_in","ion","on_","ed_","_an","and","nd_","er_","_to","to_","as_","DT,NNP,NNP","NNP,NNP,NNP","DT,NN,IN","NN,IN,DT","IN,DT,NNP","NNP,NNP,IN","NNP,IN,NNP","NNP,IN,DT","IN,DT,NN","DT,NN,VBD","NNS,IN,DT","NNP,NNP,VBD","JJ,NN,IN","IN,DT,JJ","DT,JJ,NN","NN,IN,NNP","IN,NNP,NNP","VBD,DT,NN","VBD,VBN,IN","VBN,IN,DT","NN,IN,NN","IN,NN,IN","JJ,NNS,IN","NN,CC,NN","IN,JJ,NNS","IN,DT,NNS","TO,VB,DT","DT,NN,NN","NNP,NNP,CC","IN,JJ,NN","NNP,CC,NNP","NNP,POS,NN","NN,IN,JJ","qualityClass"
11302,2213,3773,93,5,2,16,2260.4,138.3125,5656,17,332.70588235294116,2138.964772968456,0.4,1518,0.13431251105998937,60,0.6451612903225806,12,17,0.1827956989247312,3.4,2,0.021505376344086023,0.4,23.795698924731184,59,4,0.1935483870967742,0.27956989247311825,0,0,0,0,70,0.42168674698795183,0.7526881720430108,0.031631269769543606,3,0.018072289156626505,0.03225806451612903,0.0013556258472661546,22,0.13253012048192772,0.23655913978494625,0.009941256213285133,0,18,19,3,22,18,4,15,0,0.1935483870967742,0.20430107526881722,0.03225806451612903,0.23655913978494625,0.1935483870967742,0.043010752688172046,0.16129032258064516,14.522264283874854,12.985793041120647,38.4456733184652,13.80844277947029,17.471284540520582,53.27082702493699,15.555055665201301,11.388203630064769,751,8.075268817204302,0.3393583370989607,828,8.903225806451612,0.37415273384545866,345,3.7096774193548385,0.15589697243560777,0.459387483355526,166,1.7849462365591398,0.07501129688206055,118,1.2688172043010753,0.05332128332580208,0.15712383488681758,77,0.8279569892473119,0.034794396746497966,11,0.11827956989247312,0.004970628106642567,0.014647137150466045,164,1.7634408602150538,0.07410754631721644,96,1.032258064516129,0.04338002711251695,0.1278295605858855,61,0.6559139784946236,0.027564392227745142,41,0.44086021505376344,0.01852688657930411,0.05459387483355526,64,0.6881720430107527,0.6881720430107527,3,0.03225806451612903,0.0013556258472661546,0.0039946737683089215,326,3.5053763440860215,0.1473113420695888,37,0.3978494623655914,0.016719385449615907,0.0492676431424767,1.7049254405784005,5.107094441934026,176,84,70,171,150,95,95,80,111,78,51,107,69,66,66,83,50,45,56,42,68,38,32,28,37,35,7,28,13,15,14,27,24,33,27,29,15,13,13,8,3,12,7,4,6,1,5,14,8,13,13,6,1
33903,6638,11297,247,9,10,47,3767,141.2340425531915,12990,346,37.543352601156066,3739.8654201870836,1.1111111111111112,1876,0.05533433619443707,190,0.7692307692307693,21.11111111111111,102,0.41295546558704455,11.333333333333334,15,0.06072874493927125,1.6666666666666667,26.874493927125506,75,6,0.19838056680161945,0.3076923076923077,0,0,0,0,224,0.5079365079365079,0.9068825910931174,0.03374510394697198,30,0.06802721088435375,0.1214574898785425,0.004519433564326604,124,0.2811791383219955,0.5020242914979757,0.018680325399216633,0,106,46,9,33,13,18,92,0,0.4291497975708502,0.1862348178137652,0.03643724696356275,0.13360323886639677,0.05263157894736842,0.0728744939271255,0.3724696356275304,16.063156876187037,13.130165712564022,35.579353111090285,14.973095415550024,18.667845175550415,56.96778788791805,16.305420248978606,11.009066643286781,1791,7.251012145748988,0.2698101837902983,2185,8.846153846153847,0.32916541126845433,826,3.3441295546558703,0.12443507080445917,0.46119486320491343,441,1.785425101214575,0.06643567339560108,304,1.2307692307692308,0.04579692678517626,0.16973757677275264,122,0.4939271255060729,0.018379029828261523,14,0.05668016194331984,0.0021090689966857487,0.007816862088218872,538,2.1781376518218623,0.08104850858692378,271,1.097165991902834,0.04082554986441699,0.15131211613623674,180,0.728744939271255,0.027116601385959626,99,0.4008097165991903,0.014914130762277794,0.05527638190954774,243,0.9838056680161943,0.9838056680161943,4,0.016194331983805668,0.0006025911419102139,0.002233389168062535,1013,4.101214574898785,0.15260620668876168,67,0.27125506072874495,0.010093401626996084,0.03740926856504746,1.7018680325399216,5.107411871045495,768,352,289,798,747,357,338,151,244,166,167,304,262,282,260,152,168,177,127,89,58,183,195,92,43,40,31,238,38,72,26,88,110,131,27,23,16,35,67,36,23,37,27,27,22,35,45,18,34,12,5,30,1
35651,6703,11922,266,8,17,75,4456.375,89.37333333333333,8576,397,21.602015113350127,3155.382374383718,2.125,1587,0.04451488036801212,558,2.0977443609022557,69.75,293,1.1015037593984962,36.625,16,0.06015037593984962,2,25.19924812030075,92,6,0.16541353383458646,0.36466165413533835,0,0,0,0,165,0.4166666666666667,0.6203007518796992,0.024615843652096077,11,0.027777777777777776,0.041353383458646614,0.0016410562434730717,70,0.17676767676767677,0.2631578947368421,0.010443085185737729,1,78,62,16,79,10,5,67,0.0037593984962406013,0.2932330827067669,0.23308270676691728,0.06015037593984962,0.29699248120300753,0.03759398496240601,0.018796992481203006,0.2518796992481203,16.220528132953596,14.299101894674028,30.787645300219083,15.225264576853146,18.714638827413154,57.97264095462339,16.453215325623923,12.40801033618658,2125,7.988721804511278,0.3170222288527525,2797,10.515037593984962,0.4172758466358347,1235,4.642857142857143,0.1842458600626585,0.5811764705882353,396,1.4887218045112782,0.05907802476503058,235,0.8834586466165414,0.035058928837833805,0.11058823529411765,70,0.2631578947368421,0.010443085185737729,14,0.05263157894736842,0.002088617037147546,0.006588235294117647,558,2.0977443609022557,0.08324630762345218,268,1.0075187969924813,0.03998209756825302,0.12611764705882353,143,0.5375939849624061,0.021333731165149934,78,0.2932330827067669,0.011636580635536327,0.03670588235294118,269,1.0112781954887218,1.0112781954887218,6,0.022556390977443608,0.0008951215873489483,0.002823529411764706,886,3.330827067669173,0.13217962106519468,62,0.23308270676691728,0.009249589735939132,0.029176470588235293,1.77860659406236,5.318663285096226,483,205,185,476,457,309,279,196,272,209,167,276,263,263,274,191,141,129,135,94,277,110,103,77,57,45,23,116,20,43,31,66,57,78,49,76,29,19,51,31,26,37,35,29,19,19,40,47,23,34,18,31,1
15290,3043,5048,116,7,3,19,2184.285714285714,160.1578947368421,6602,854,7.730679156908665,2068.3300372177414,0.42857142857142855,962,0.06291693917593198,89,0.7672413793103449,12.714285714285714,32,0.27586206896551724,4.571428571428571,6,0.05172413793103448,0.8571428571428571,26.232758620689655,71,3,0.1724137931034483,0.25862068965517243,0,0,0,0,64,0.2782608695652174,0.5517241379310345,0.02103187643772593,12,0.05217391304347826,0.10344827586206896,0.003943476832073612,29,0.12608695652173912,0.25,0.009530069010844562,0,37,35,6,15,11,1,33,0,0.31896551724137934,0.3017241379310345,0.05172413793103448,0.12931034482758622,0.09482758620689655,0.008620689655172414,0.28448275862068967,15.352465409588994,12.616562602694707,39.8667191094315,14.215669059571429,16.684362074631434,52.92980885091467,14.640453604609007,11.465354324792912,1010,8.706896551724139,0.3319093000328623,1152,9.931034482758621,0.3785737758790667,495,4.267241379310345,0.16266841932303647,0.4900990099009901,230,1.9827586206896552,0.07558330594807755,156,1.3448275862068966,0.05126519881695695,0.15445544554455445,88,0.7586206896551724,0.028918830101873152,17,0.14655172413793102,0.00558659217877095,0.016831683168316833,183,1.5775862068965518,0.06013802168912258,101,0.8706896551724138,0.03319093000328623,0.1,68,0.5862068965517241,0.0223463687150838,37,0.31896551724137934,0.012159053565560303,0.03663366336633663,102,0.8793103448275862,0.8793103448275862,4,0.034482758620689655,0.0013144922773578706,0.0039603960396039604,429,3.6982758620689653,0.14097929674663162,53,0.45689655172413796,0.017417022674991785,0.05247524752475247,1.6588892540256326,5.02464673020046,241,91,87,274,263,115,105,83,105,80,106,147,105,157,116,145,89,83,62,17,59,54,44,24,22,22,16,66,14,26,29,25,21,45,22,38,32,11,13,16,12,15,2,11,16,17,26,19,13,21,12,10,1
23933,4724,8051,198,9,11,44,2659.222222222222,107.36363636363636,5620,22,255.45454545454547,2022.5207731387527,1.2222222222222223,115,0.004805080850708227,132,0.6666666666666666,14.666666666666666,12,0.06060606060606061,1.3333333333333333,8,0.04040404040404041,0.8888888888888888,23.858585858585858,59,5,0.18181818181818182,0.29797979797979796,0,0,3,0.015151515151515152,144,0.3829787234042553,0.7272727272727273,0.03048264182895851,27,0.07180851063829788,0.13636363636363635,0.00571549534292972,63,0.1675531914893617,0.3181818181818182,0.013336155800169348,1,40,57,1,49,29,17,26,0.005050505050505051,0.20202020202020202,0.2878787878787879,0.005050505050505051,0.2474747474747475,0.14646464646464646,0.08585858585858586,0.13131313131313133,14.361365325567277,12.748950042337004,38.43678260163023,13.825305724475921,17.13869259914984,50.443727231553865,15.288399677052276,11.163962911930483,1494,7.545454545454546,0.3162574089754445,1557,7.863636363636363,0.3295935647756139,687,3.4696969696969697,0.14542760372565622,0.4598393574297189,376,1.898989898989899,0.07959356477561388,244,1.2323232323232323,0.05165114309906858,0.16331994645247658,277,1.398989898989899,0.05863674851820491,24,0.12121212121212122,0.005080440304826418,0.01606425702811245,411,2.0757575757575757,0.08700254022015241,225,1.1363636363636365,0.04762912785774767,0.15060240963855423,152,0.7676767676767676,0.03217612193056731,76,0.3838383838383838,0.016088060965283656,0.050870147255689425,163,0.8232323232323232,0.8232323232323232,6,0.030303030303030304,0.0012701100762066045,0.004016064257028112,663,3.3484848484848486,0.1403471634208298,57,0.2878787878787879,0.012066045723962743,0.03815261044176707,1.7042760372565622,5.066257408975445,337,114,109,359,334,160,154,145,158,136,128,243,174,179,176,111,161,148,111,54,88,69,73,51,51,32,44,91,21,22,21,56,62,84,36,42,23,27,22,19,16,30,16,23,10,12,9,23,21,11,18,24,1
48825,9585,16559,337,8,10,89,6103.125,107.69662921348315,31237,591,52.854483925549914,10260.490484481863,1.25,2371,0.04856118791602663,242,0.7181008902077152,30.25,166,0.49258160237388726,20.75,19,0.05637982195845697,2.375,28.44213649851632,158,5,0.18694362017804153,0.41839762611275966,1,0.002967359050445104,1,0.002967359050445104,229,0.28732747804265996,0.6795252225519288,0.02389149713093375,62,0.07779171894604768,0.18397626112759644,0.006468440271257173,100,0.12547051442910917,0.29673590504451036,0.010432968179447054,0,40,89,5,88,74,22,29,0,0.11869436201780416,0.26409495548961426,0.01483679525222552,0.26112759643916916,0.2195845697329377,0.06528189910979229,0.08605341246290801,16.783321770384923,13.11140323422013,31.811677463395625,15.888056604270087,19.564648026636576,57.402257611324515,16.913234015737014,11.537850731933087,2619,7.771513353115727,0.27323943661971833,3061,9.083086053412464,0.3193531559728743,1262,3.744807121661721,0.1316640584246218,0.48186330660557464,797,2.364985163204748,0.08315075639019301,431,1.2789317507418398,0.044966092853416795,0.16456662848415426,596,1.768545994065282,0.06218049034950444,25,0.07418397626112759,0.0026082420448617634,0.009545628102329133,847,2.513353115727003,0.08836724047991654,407,1.2077151335311573,0.042462180490349506,0.1554028255059183,265,0.7863501483679525,0.02764736567553469,127,0.3768545994065282,0.013249869587897757,0.048491790759831996,372,1.1038575667655786,1.1038575667655786,4,0.011869436201780416,0.0004173187271778821,0.0015273004963726614,1539,4.566765578635015,0.16056338028169015,67,0.19881305637982197,0.006990088680229526,0.025582283314242078,1.7275952008346374,5.093896713615023,602,342,301,771,628,442,436,368,352,324,321,531,400,367,378,168,241,231,254,32,42,193,138,73,40,52,39,187,22,52,41,146,101,148,63,60,48,43,48,106,54,62,31,65,32,26,22,20,67,22,45,65,1
14367,2987,4651,117,4,3,15,3591.75,199.13333333333333,4589,1413,3.2476999292285917,1465.2338550552263,0.75,1413,0.09835038630194196,199,1.7008547008547008,49.75,85,0.7264957264957265,21.25,4,0.03418803418803419,1,25.52991452991453,219,5,0.11965811965811966,0.4188034188034188,0,0,0,0,91,0.33090909090909093,0.7777777777777778,0.03046534984934717,20,0.07272727272727272,0.17094017094017094,0.006695681285570807,44,0.16,0.37606837606837606,0.014730498828255775,1,37,24,2,34,5,9,30,0.008547008547008548,0.3162393162393162,0.20512820512820512,0.017094017094017096,0.2905982905982906,0.042735042735042736,0.07692307692307693,0.2564102564102564,13.98931615347417,11.32245061935052,49.19311097376382,12.740218725588665,15.541728115280177,49.37268499632863,13.665531327930967,10.992532672635551,1096,9.367521367521368,0.3669233344492802,953,8.145299145299145,0.31904921325744895,500,4.273504273504273,0.16739203213927017,0.4562043795620438,275,2.3504273504273505,0.0920656176765986,187,1.5982905982905984,0.06260462002008704,0.17062043795620438,173,1.4786324786324787,0.057917643120187476,14,0.11965811965811966,0.004686976899899564,0.012773722627737226,201,1.7179487179487178,0.06729159691998661,141,1.205128205128205,0.04720455306327419,0.12864963503649635,136,1.1623931623931625,0.04553063274188149,71,0.6068376068376068,0.023769668563776363,0.06478102189781022,104,0.8888888888888888,0.8888888888888888,4,0.03418803418803419,0.0013391362571141614,0.0036496350364963502,393,3.358974358974359,0.13157013726146635,45,0.38461538461538464,0.015065282892534315,0.04105839416058394,1.5570806829594912,4.809842651489789,295,104,89,307,268,88,88,52,63,51,70,118,108,113,120,70,81,76,61,12,64,55,55,13,8,5,7,82,17,15,16,16,39,43,21,17,15,23,25,8,7,7,8,8,17,9,15,13,8,17,16,8,1
19001,4121,6353,138,5,5,25,3800.2,164.84,9329,26,358.8076923076923,3648.6392257936386,1,1174,0.061786221777801166,55,0.39855072463768115,11,19,0.13768115942028986,3.8,4,0.028985507246376812,0.8,29.86231884057971,180,2,0.2463768115942029,0.391304347826087,0,0,0,0,139,0.4186746987951807,1.0072463768115942,0.03372967726280029,21,0.06325301204819277,0.15217391304347827,0.00509585052171803,65,0.19578313253012047,0.47101449275362317,0.015772870662460567,3,31,42,2,22,13,13,24,0.021739130434782608,0.2246376811594203,0.30434782608695654,0.014492753623188406,0.15942028985507245,0.09420289855072464,0.09420289855072464,0.17391304347826086,15.217905355742417,10.320135889347249,46.10402325135664,14.247374476435649,17.429033335795097,51.24422624990025,14.688348931897142,10.232849369261015,1321,9.572463768115941,0.3205532637709294,1166,8.44927536231884,0.28294103372967727,569,4.1231884057971016,0.13807328318369327,0.4307342922028766,332,2.4057971014492754,0.08056297015287552,217,1.5724637681159421,0.05265712205775297,0.1642694928084784,175,1.2681159420289856,0.04246542101431691,22,0.15942028985507245,0.005338510070371269,0.016654049962149888,287,2.079710144927536,0.06964329046347974,171,1.2391304347826086,0.04149478281970396,0.12944738834216502,167,1.210144927536232,0.040524144625091,87,0.6304347826086957,0.021111380732831836,0.06585919757759273,145,1.0507246376811594,1.0507246376811594,6,0.043478260869565216,0.001455957291919437,0.004542013626040878,693,5.021739130434782,0.16816306721669497,51,0.3695652173913043,0.012375636981315215,0.03860711582134747,1.5416161125940306,4.610774083960204,314,147,122,353,318,197,183,147,176,58,62,183,128,153,140,119,110,102,116,10,15,116,87,14,13,12,8,137,50,15,16,53,58,78,33,16,16,23,28,40,19,9,17,11,23,14,12,3,12,4,5,10,1
47896,9588,15648,439,8,14,55,5987,174.3272727272727,15508,999,15.523523523523524,4687.691603703103,1.75,999,0.020857691665274763,344,0.7835990888382688,43,152,0.3462414578587699,19,6,0.01366742596810934,0.75,21.840546697038725,133,2,0.16400911161731208,0.3052391799544419,0,0,0,0,272,0.28422152560083597,0.6195899772209568,0.028368794326241134,48,0.050156739811912224,0.10933940774487472,0.0050062578222778474,101,0.10553814002089865,0.23006833712984054,0.010534000834376304,1,90,54,15,178,70,7,85,0.002277904328018223,0.20501138952164008,0.12300683371298406,0.03416856492027335,0.4054669703872437,0.15945330296127563,0.015945330296127564,0.19362186788154898,13.018658830371677,12.217738840216935,46.59625686721159,12.185885802583531,15.198463151072481,48.35029898484217,13.860055268730687,11.121097958058812,2665,6.070615034168565,0.27795160617438464,3180,7.24373576309795,0.3316645807259074,1160,2.642369020501139,0.12098456403838131,0.4352720450281426,957,2.1799544419134396,0.09981226533166458,453,1.031890660592255,0.04724655819774718,0.1699812382739212,687,1.5649202733485195,0.07165206508135169,26,0.05922551252847381,0.0027117229870671673,0.00975609756097561,743,1.6924829157175398,0.07749269920734252,400,0.9111617312072893,0.041718815185648725,0.150093808630394,298,0.6788154897494305,0.0310805173133083,114,0.25968109339407747,0.011889862327909888,0.04277673545966229,274,0.6241457858769932,0.6241457858769932,6,0.01366742596810934,0.0006257822277847309,0.00225140712945591,1259,2.867881548974943,0.13130997079682938,65,0.1480637813211845,0.006779307467667918,0.024390243902439025,1.6320400500625782,4.995410930329578,803,357,267,869,742,286,265,216,304,207,209,492,272,256,286,235,312,296,214,36,98,160,149,44,43,35,22,235,68,59,51,98,84,136,63,66,82,42,43,26,20,46,23,29,33,35,61,24,42,23,52,34,1
43293,8115,14370,319,8,13,67,5411.625,121.11940298507463,13551,521,26.009596928982724,4173.348020046803,1.625,1975,0.04561938419605941,173,0.542319749216301,21.625,5,0.01567398119122257,0.625,12,0.03761755485893417,1.5,25.438871473354233,73,2,0.19122257053291536,0.3448275862068966,0,0,0,0,222,0.33687405159332323,0.6959247648902821,0.02735674676524954,17,0.025796661608497723,0.05329153605015674,0.0020948860135551447,55,0.0834597875569044,0.1724137931034483,0.006777572396796057,1,29,86,12,102,39,32,20,0.003134796238244514,0.09090909090909091,0.26959247648902823,0.03761755485893417,0.31974921630094044,0.12225705329153605,0.10031347962382445,0.06269592476489028,16.416981023183588,14.405845964263708,31.205303310368038,15.226538802519428,18.786762390943665,57.62069126567977,16.498011451033697,11.930314851942203,2176,6.821316614420063,0.2681454097350585,2652,8.31347962382445,0.3268022181146026,1040,3.260188087774295,0.1281577325939618,0.47794117647058826,659,2.0658307210031346,0.08120764017252002,333,1.0438871473354232,0.041035120147874304,0.15303308823529413,471,1.4764890282131662,0.05804066543438078,23,0.07210031347962383,0.002834257547751078,0.010569852941176471,751,2.35423197492163,0.09254467036352433,334,1.0470219435736676,0.04115834873690696,0.15349264705882354,397,1.244514106583072,0.048921749845964264,147,0.4608150470219436,0.01811460258780037,0.06755514705882353,342,1.0721003134796239,1.0721003134796239,8,0.025078369905956112,0.0009858287122612446,0.003676470588235294,1137,3.5642633228840124,0.14011090573012938,68,0.21316614420062696,0.008379544054220579,0.03125,1.7707948243992606,5.334935304990758,516,240,206,574,514,360,346,189,246,217,352,402,336,319,331,185,210,195,221,34,89,134,99,42,17,25,22,128,18,54,22,77,87,112,57,62,39,33,27,33,21,56,30,47,48,24,9,37,19,46,46,46,1
