"article","revertCount"
"The Dawn of Love (painting)",3
"Freedom of Worship (painting)",19
"Monadnock Building",33
"Scottish Parliament Building",106
"Adolfo Farsari",57
"Daisy Jugadai Napaltjarri",2
"Constance Stokes",10
"John Michael Wright",45
"Bacteria",937
"Chalciporus piperatus",6
"Mycena aurantiomarginata",18
"Suillus brevipes",9
"Common blackbird",180
"Forest raven",12
"Pseudoryzomys",6
"Red rail",6
"Charles Darwin",2480
"Georg Forster",341
"G. Ledyard Stebbins",42
"Alfred Russel Wallace",463
"Economy of the Han dynasty",67
"Octopus card",87
"Adam Eckfeldt",0
"London Necropolis Company",6
"Draped Bust dollar",25
"Louisiana Purchase Exposition dollar",0
"Mercury dime",32
"Turban Head eagle",28
"Caesium",428
"Synthetic diamond",211
"Nicotinamide adenine dinucleotide",74
"Joseph Priestley",649
"4chan",1592
"NeXT",170
"The Bus Uncle",262
"Jack the Ripper: The Final Solution",133
"Monroe Edwards",3
"Wife selling (English custom)",252
"Dartmouth College",518
"History of Texas A&M University",35
"School for Creative and Performing Arts",71
"University of California, Riverside",0
"2013 Rosario gas explosion",10
"Hoover Dam",1263
"Webley Revolver",141
"Restoration of the Everglades",52
"Gumbo",209
"Lettuce",613
"Belgrade",32
"Cherry Springs State Park",50
"Mauna Loa",652
"Tulsa, Oklahoma",0
"1949 Ambato earthquake",27
"Calabozos",6
"Geology of the Lassen volcanic area",76
"The Volcano (British Columbia)",30
"Anti-tobacco movement in Nazi Germany",135
"Helicobacter pylori",210
"Management of multiple sclerosis",96
"Social history of viruses",29
"Ecclesiastical heraldry",71
"National emblem of Belarus",97
"Victoria Cross for New Zealand",55
"1981 Irish hunger strike",286
"Double Seven Day scuffle",13
"Middle Ages",2991
"Siege of Sidney Street",43
"William Speirs Bruce",57
"John W. Johnston",18
"Thomas Percy (Gunpowder Plot)",53
"Yagan",162
"Black American Sign Language",4
"Swedish language",459
"Accurate News and Information Act",22
"Ex parte Crow Dog",2
"Ordinances of 1311",24
"Tahirih Justice Center",68
"Richard Barre",12
"Kenesaw Mountain Landis",82
"The Autobiography of Malcolm X",180
"Galaxy Science Fiction",11
"Liber Eliensis",8
"Science Fiction Quarterly",3
"Early life of Samuel Johnson",6
"Joseph Johnson (publisher)",30
"Adelaide Anne Procter",8
"Mario Vargas Llosa",295
"Group (mathematics)",9
"Polar coordinate system",201
"Leonhard Euler",966
"Emery Molyneux",48
"Edward Wright (mathematician)",38
"Changeling (film)",292
"Jason Voorhees",1009
"Partners in Crime (Doctor Who)",160
"Sesame Street research",3
"Through the Looking Glass (Lost)",206
"Russell T Davies",223
"James Nesbitt",228
"Roekiah",15
"1964 South Vietnamese coup",3
"Sukhoi Su-25",227
"Dick Cresswell",0
"Lockheed AH-56 Cheyenne",32
"Heartbleed",136
"Aluminium chloride",72
"Tin(II) chloride",16
"Nemesis (Resident Evil)",123
"T-26",43
"University of Massachusetts",94
"1846 Havana hurricane",2
"Fort Stanton (Washington, D.C.)",0
"Puerto Rican constitutional referendum, 2012",0
"Romanian presidential election, 2014",0
"Georgia Tech Research Institute",9
"Georgia Tech traditions",74
"Ramblin' Wreck from Georgia Tech",45
"Le Paradis massacre",16
"Battle of Berlin",698
"Operation Trio",36
"SM UB-45",1
"SMS Deutschland (1904)",5
"Kaunas Fortress",6
"Evacuation of East Prussia",103
"List of Knight's Cross of the Iron Cross recipients (O)",2
"Heuschrecke 10",18
"2015 South Indian floods",82
"Hurricane Earl (1998)",11
"Vikos–Aoös National Park",16
"Horace Hutchinson",3
"Annika Sörenstam",99
"Herbert Strong (golfer)",31
"Artavasdes I of Media Atropatene",2
"Roman–Parthian War of 58–63",13
"First Macedonian War",19
"Hurricane Janet",19
"Going, Going, Gone (Grey's Anatomy)",0
"Grey's Anatomy",1264
"Hurricane Betsy (1956)",13
"Bastille",421
"102d Intelligence Wing",20
"History of molecular theory",22
"Second voyage of HMS Beagle",60
"Typhoon Gordon (1989)",1
"Hurricane Chantal (1989)",3
"New York State Route 292",2
"Olaudah Equiano",717
"Reform of the United Nations Security Council",117
"Civil Services of India",99
"Joint Secretary to Government of India",6
"Dakshina Kannada",139
"American Palestine Line",1
"Arrow (Israeli missile)",38
"Skanderbeg's Italian expedition",4
"Anna Wintour",297
"Barton S. Alexander",2
"I Corps (United States)",9
"Driving licence in Lebanon",4
"Lebanese identity card",2
"Lebanese passport",31
"Visa policy of Lebanon",17
"Visa requirements for Lebanese citizens",77
"Tibesti Mountains",21
"Leonard Orban",3
"Smolensk War",24
"Uniondale, New York",0
"Effects of Hurricane Katrina in New Orleans",1010
"United States naval gunfire support debate",4
"Towson United Methodist Church",7
"29th Regiment Massachusetts Volunteer Infantry",0
"Peano axioms",80
"Priscus (general)",1
"Heat shock protein 90kDa alpha (cytosolic), member A1",0
"NEDD9",3
"Project A119",92
"1995–96 South Pacific cyclone season",5
"Elizabeth Cady Stanton",997
"New Zealand Emissions Trading Scheme",13
"Santa Maria, Bulacan",0
"Montreal Laboratory",0
"Hill 262",22
"Vénus de Quinipily",3
"Violet wand",0
"Sihanouk Trail",0
"Strasbourg tramway",7
"Milagro (The X-Files)",5
"Beyond the Sea (The X-Files)",5
"Elf (Middle-earth)",4
"Citadel of Saigon",9
"Great Northern Highway",8
"Hippolyte De La Rue",1
"Werner Voss",23
"St Padarn's Church, Llanbadarn Fawr",0
"Ontario Highway 420",21
"Hurricane Hilda (1955)",6
"Łódź insurrection (1905)",3
"Battle of Aachen",16
"Battle of Bita Paka",6
"Kincardine O'Neil Hospital, Aberdeenshire",0
"Early thermal weapons",27
"Apiary Laboratory",0
"Cornell Plantations",2
"Gypsy Restaurant and Velvet Lounge",7
"French cuisine",931
"Burger King grilled chicken sandwiches",8
"Commandaria",34
"West Liberty Foods",6
"Mauricio González-Gordon y Díez",3
"The Cookery Book of Lady Clark of Tillypronie",0
"Pancake machine",0
"Indio Comahue Monument",1
"Architecture in early modern Scotland",1
"Mezhyhirya Monastery",3
"Rembrandt",885
"John F. Kennedy Presidential Library and Museum",44
"Eugene Kaspersky",62
"Cottalango Leon",4
"Thermal imaging camera",0
